# Regles du scan ZAP de l'image publiee (zap-api-scan.py -c rules.tsv).
# Format impose par ZAP : identifiant<TAB>action<TAB>libelle, tabulations
# obligatoires, les trois colonnes sont exigees.
#
# Tout ce qui n'est pas liste ici reste au niveau que ZAP lui donne. Le job
# tourne en -I, donc un avertissement ne bloque pas ; une regle passee en FAIL
# ci-dessous, elle, arrete la livraison.
#
# En-tetes de securite (10020, 10021, 10035, 10038, 10063) : le service est
# joint EN DIRECT sur la boucle locale du runner, sans le reverse proxy qui
# les pose en deploiement. Les exiger ici ferait echouer chaque livraison pour
# une configuration qui ne vit pas dans ce depot.
#
# Attention : cette justification vaut tant que Traefik les pose reellement.
# Ce n'est pas le cas aujourd'hui — aucun middleware headers n'est declare
# cote infra, et le point est ouvert dans le rapport d'audit. Le jour ou il
# est traite, ces cinq lignes doivent etre relues.
10020	IGNORE	Anti-clickjacking Header
10021	IGNORE	X-Content-Type-Options Header Missing
10035	IGNORE	Strict-Transport-Security Header Not Set
10038	IGNORE	Content Security Policy Header Not Set
10063	IGNORE	Permissions Policy Header Not Set
# Directives de cache : sans objet pour des reponses JSON non stockables, et
# le service est joint sans TLS ni proxy pendant le scan.
10015	IGNORE	Incomplete or No Cache-control Header
10049	IGNORE	Storable and Cacheable Content
# /health rend un horodatage ISO 8601 par contrat : la regle le signalerait a
# chaque livraison.
10096	IGNORE	Timestamp Disclosure
# Bruit connu sur une API JSON sans page HTML applicative.
10027	IGNORE	Information Disclosure - Suspicious Comments
10109	IGNORE	Modern Web Application
90005	IGNORE	Sec-Fetch headers
